video_title,view_count,like_count,comment_count,channel_name,subscriber_count
Solar Power Of 30 Mirrors - Death Ray's | മനുഷ്യനെ കത്തിക്കുന്ന സൂര്യൻ | M4 Tech |,919020,29956,544,M4 Tech,13700000
India's biggest futuristic and vibrant festival,339453,12922,109,M4 Tech,13700000
Jaggery Making From Sugarcane | Homemade | കരിമ്പിൽനിന്നും ശർക്കര | M4 Tech |,1042687,29258,739,M4 Tech,13700000
HomeMade Water Filter | Dirty Water To Good Water | അഴുക്ക് വെള്ളത്തിൽനിന്നും ശുദ്ധജലം | M4 Tech |,1236287,34012,574,M4 Tech,13700000
Giant Infused Crab Barbecue | ഞണ്ടിനെ കുത്തിവച്ചു ചുട്ടത് | M4 Tech |,2050821,34433,637,M4 Tech,13700000
Surprising People With Giant Crocodile Toy | ഞാൻ ഉണ്ടാക്കിയ പെടക്കണ മുതല | M4 Tech |,1232240,29627,663,M4 Tech,13700000
2024 M4 Tech Christmas Celebration | കുട്ടികൾക്ക് സമ്മാന പെരുമഴ | M4 Tech |,721462,20263,629,M4 Tech,13700000
Levitating Santa | വെള്ളത്തിൽ പറന്നുനടക്കുന്ന സാന്റാ | M4 Tech |,662540,23648,485,M4 Tech,13700000
Bottle Tree Christmas Decoration  | ബിയർ കുപ്പികൊണ്ട് ക്രിസ്മസ് ട്രീ | M4 Tech |,1232755,42122,1101,M4 Tech,13700000
Giant Plum Cake Mixing | M4 Tech Plum Cake | Christmas |,1658257,42098,986,M4 Tech,13700000
Diamond Playbutton From Waste Can | വേസ്റ്റ് ക്യാനിൽ നിന്നും ഡയമണ്ട് പ്ലേയ്‌ബട്ടൻ | M4 Tech |,2013517,52120,1509,M4 Tech,13700000
Barrel Fish Recipe | പാട്ടയിൽ ചുട്ട മീൻ | M4 Tech |,2036572,44985,934,M4 Tech,13700000
Beautiful Aquarium Made From Nature | തോട്ടിലെ സാദനങ്ങൾ ഉപയോഗിച്ച് ഉണ്ടാക്കിയ അക്വാറിയം | M4 Tech |,2640387,42266,954,M4 Tech,13700000
Making Metal Melting Furnace at Home | ഗ്യാസ് സിലിണ്ടർ മുറിച് ഫർനസ് ഉണ്ടാക്കി | M4 Tech |,1208625,32383,599,M4 Tech,13700000
Camping On Water With My Dog | ഞാനും ജൂലിയും വെള്ളത്തിന്റെ നടുക്ക് താമസിച്ചപ്പോൾ | M4 Tech |,3021249,43021,850,M4 Tech,13700000
I Build My New Home | എന്റെ പുതിയ വീട് . In Water | M4 Tech |,1674369,38832,1493,M4 Tech,13700000
How To Make An Orbeez Gun For Teddy V2 | ഇതു കണ്ടാൽ നിങ്ങൾ ഞെട്ടും | M4 Tech |,2306289,24925,468,M4 Tech,13700000
"കാലിന്റെ കാര്യം തീരുമാനമായി ""ഞാൻ അടയിരുന്ന മുട്ട""  I Am Human Incubator | M4 Tech |",2591974,59178,2154,M4 Tech,13700000
Robot Powered Kayak | ഈ റോബോട്ടിന് വഞ്ചി തുഴയാൻ പറ്റുമോ | M4 Tech |,955999,26167,688,M4 Tech,13700000
"""മണിയന്റെ മാണിക്യം"" ടോവിനോ ചേട്ടന് M4TECH ഇന്റെ സ്നേഹസമ്മാനം",5170286,200966,570,M4 Tech,13700000
